id,round,image_id,caption,question_id,question,answer_id,answer
3,8,148816,a woman feeding a large black and white bird,43089,what color is her hat,348,blonde
3,9,148816,a woman feeding a large black and white bird,18932,what kind of bird is it,10162,a very large black bird with a white ring around his neck
3,10,148816,a woman feeding a large black and white bird,11178,what else do you see,12404,it appears to be at a zoo there are trees behind her
4,1,88394,a couple sharing a knife to cut a large cake,31421,is the picture in color,4754,yes
4,2,88394,a couple sharing a knife to cut a large cake,3969,is this a wedding picture,13691,maybe
4,3,88394,a couple sharing a knife to cut a large cake,14693,is the couple male and female,4754,yes
4,4,88394,a couple sharing a knife to cut a large cake,26040,is the cake 1 or more tiers,15736,no
4,5,88394,a couple sharing a knife to cut a large cake,7061,can you see other people,15736,no
4,6,88394,a couple sharing a knife to cut a large cake,29989,is this inside,4754,yes
4,7,88394,a couple sharing a knife to cut a large cake,21150,what color is the cake,20275,"white with blue lettering, but hard to see it"
4,8,88394,a couple sharing a knife to cut a large cake,25578,anything written on the cake,22792,you cannot see it
4,9,88394,a couple sharing a knife to cut a large cake,14130,any other decorations on the cake,20812,not that i can see
4,10,88394,a couple sharing a knife to cut a large cake,1477,can you see any plates,15736,no
5,1,255061,a woman swinging at a tennis ball on the court,20076,is she alone,4754,yes
5,2,255061,a woman swinging at a tennis ball on the court,4435,is she wearing a skirt,4754,yes
5,3,255061,a woman swinging at a tennis ball on the court,1504,what color is the skirt,13846,black
5,4,255061,a woman swinging at a tennis ball on the court,26062,what color are her shoes,26392,can't see her feet
5,5,255061,a woman swinging at a tennis ball on the court,32088,is her hair pulled back,4754,yes
5,6,255061,a woman swinging at a tennis ball on the court,25713,is she on the left or right,30847,left
5,7,255061,a woman swinging at a tennis ball on the court,43969,is her hair in a ponytail,4754,yes
5,8,255061,a woman swinging at a tennis ball on the court,41372,is she walking,117,"no, standing still"
5,9,255061,a woman swinging at a tennis ball on the court,30505,is she bent down,26352,a little
5,10,255061,a woman swinging at a tennis ball on the court,1870,is it sunny,4754,yes
6,1,36690,a jet plane flies over blue waters and a picturesque town on a sunny day,29456,what color is the jet,2293,white and blue
6,2,36690,a jet plane flies over blue waters and a picturesque town on a sunny day,34772,is it a commercial plane,4754,yes
6,3,36690,a jet plane flies over blue waters and a picturesque town on a sunny day,19068,can the sky be seen,4754,yes
6,4,36690,a jet plane flies over blue waters and a picturesque town on a sunny day,13380,are there any clouds,15736,no
6,5,36690,a jet plane flies over blue waters and a picturesque town on a sunny day,27819,do you see any other planes in the picture,15736,no
6,6,36690,a jet plane flies over blue waters and a picturesque town on a sunny day,965,can you see anything else other than the plane,15736,no
6,7,36690,a jet plane flies over blue waters and a picturesque town on a sunny day,24820,is the plane crashing,15736,no
6,8,36690,a jet plane flies over blue waters and a picturesque town on a sunny day,10305,is the plane above any bodies of water,4754,yes
6,9,36690,a jet plane flies over blue waters and a picturesque town on a sunny day,6603,are those bodies of water lakes,9079,possibly
6,10,36690,a jet plane flies over blue waters and a picturesque town on a sunny day,26849,is there any text on the plane,20812,not that i can see
7,1,76113,a woman playing tennis with the ball in mid-air in front of her and the racket raised with her arm across her body in front of a sponsored grandstand,1435,do you see a lot of people,8184,just 3
7,2,76113,a woman playing tennis with the ball in mid-air in front of her and the racket raised with her arm across her body in front of a sponsored grandstand,42122,what is the tennis player wearing,12962,white tennis dress
7,3,76113,a woman playing tennis with the ball in mid-air in front of her and the racket raised with her arm across her body in front of a sponsored grandstand,18235,what color is her tennis racket,13846,black
7,4,76113,a woman playing tennis with the ball in mid-air in front of her and the racket raised with her arm across her body in front of a sponsored grandstand,5416,is she wearing a hat,17283,a visor
7,5,76113,a woman playing tennis with the ball in mid-air in front of her and the racket raised with her arm across her body in front of a sponsored grandstand,5356,is she close to the net,15736,no
7,6,76113,a woman playing tennis with the ball in mid-air in front of her and the racket raised with her arm across her body in front of a sponsored grandstand,44946,do you see another player,15736,no
7,7,76113,a woman playing tennis with the ball in mid-air in front of her and the racket raised with her arm across her body in front of a sponsored grandstand,26242,do you see a tennis bag,15736,no
7,8,76113,a woman playing tennis with the ball in mid-air in front of her and the racket raised with her arm across her body in front of a sponsored grandstand,13617,do you see trees,15736,no
7,9,76113,a woman playing tennis with the ball in mid-air in front of her and the racket raised with her arm across her body in front of a sponsored grandstand,2288,do you see anything next to her,12413,nothing
7,10,76113,a woman playing tennis with the ball in mid-air in front of her and the racket raised with her arm across her body in front of a sponsored grandstand,34550,does she look mad,15736,no
8,1,112857,plates and bowls of food are sitting on top of a table,3424,what kind of food,26992,looks like fried chicken and some rice and sauce
8,2,112857,plates and bowls of food are sitting on top of a table,17359,what color are the plates,9144,they are orange
8,3,112857,plates and bowls of food are sitting on top of a table,18044,what color are the bowls,14920,also orange
8,4,112857,plates and bowls of food are sitting on top of a table,22763,are there any drinks,20113,no drinks are visible
8,5,112857,plates and bowls of food are sitting on top of a table,38040,are there any people,4859,no people are visible
8,6,112857,plates and bowls of food are sitting on top of a table,21463,what color is the table,18876,the table is white
8,7,112857,plates and bowls of food are sitting on top of a table,31357,is this in a kitchen,10685,it looks like a domestic kitchen
8,8,112857,plates and bowls of food are sitting on top of a table,25653,is there a tablecloth on the table,28792,i can't tell for sure
8,9,112857,plates and bowls of food are sitting on top of a table,5986,is there any silverware,6556,yes all around
8,10,112857,plates and bowls of food are sitting on top of a table,31819,can you see any windows,5579,no windows are visible
9,1,296319,a toilet sitting in the middle of an abandoned building,10540,can you see the tub,15736,no
9,2,296319,a toilet sitting in the middle of an abandoned building,13285,is the toilet dirty,31964,no it looks clean
9,3,296319,a toilet sitting in the middle of an abandoned building,17427,is the seat up,19946,it doesn't look like there is a seat
9,4,296319,a toilet sitting in the middle of an abandoned building,5045,can you see a sink,15736,no
9,5,296319,a toilet sitting in the middle of an abandoned building,39242,can you see water in the tank,15736,no
9,6,296319,a toilet sitting in the middle of an abandoned building,11536,can you see the floor,4754,yes
9,7,296319,a toilet sitting in the middle of an abandoned building,12898,is there a window,15736,no
9,8,296319,a toilet sitting in the middle of an abandoned building,15730,what color is the floor,28855,brown
9,9,296319,a toilet sitting in the middle of an abandoned building,39362,is it tile,28231,i think so
9,10,296319,a toilet sitting in the middle of an abandoned building,634,is it dirty,6483,"yes, it's in an abandoned building"
10,1,67272,trailer tractor truck in parking lot with natural greenery,7846,does it look like the truck is picking up or delivering,33523,it's just sitting in a parking lot
10,2,67272,trailer tractor truck in parking lot with natural greenery,18706,what color is the truck,5996,"the truck is orange, black, and white"
10,3,67272,trailer tractor truck in parking lot with natural greenery,10358,is the driver of the truck nearby,28018,i can't see anyone in the picture
10,4,67272,trailer tractor truck in parking lot with natural greenery,31421,is the picture in color,18142,"yes, the picture is in color"
10,5,67272,trailer tractor truck in parking lot with natural greenery,11276,is there a time stamp on the photo,15736,no
10,6,67272,trailer tractor truck in parking lot with natural greenery,7962,can you tell about what time of day it is,8733,it looks like it is maybe early morning
10,7,67272,trailer tractor truck in parking lot with natural greenery,8683,are they parked near a store,15736,no
10,8,67272,trailer tractor truck in parking lot with natural greenery,22451,are there any tree's or grass,13683,"yes, there are trees"
10,9,67272,trailer tractor truck in parking lot with natural greenery,32949,are there any animals around,15736,no
10,10,67272,trailer tractor truck in parking lot with natural greenery,20783,are they in a parking lot or on a road,20667,in a parking lot
11,1,347725,6 people are sitting around a table with 2 pizzas and drinks,27600,is this in a public setting,4754,yes
11,2,347725,6 people are sitting around a table with 2 pizzas and drinks,4626,can you see the type of pizza,23545,appears to be cheese and a deep dish
11,3,347725,6 people are sitting around a table with 2 pizzas and drinks,22083,how many males and how many females,19295,3 of each
11,4,347725,6 people are sitting around a table with 2 pizzas and drinks,24996,any windows visible,15736,no
11,5,347725,6 people are sitting around a table with 2 pizzas and drinks,40673,what are they drinking,2310,"sodas, water and beer"
11,6,347725,6 people are sitting around a table with 2 pizzas and drinks,27237,are they dressed for warm weather,4754,yes
11,7,347725,6 people are sitting around a table with 2 pizzas and drinks,798,are there other tables visible,15736,no
11,8,347725,6 people are sitting around a table with 2 pizzas and drinks,40674,are the wait staff present,15736,no
11,9,347725,6 people are sitting around a table with 2 pizzas and drinks,21291,do they have plates or eating from box,12824,neither
11,10,347725,6 people are sitting around a table with 2 pizzas and drinks,21463,what color is the table,20463,checkered tablecloth
12,1,345606,"down on a busy street, an oversized bus takes up half of a lane of traffic as cars zoom by on the other side",29250,color picture,33301,yes in color
12,2,345606,"down on a busy street, an oversized bus takes up half of a lane of traffic as cars zoom by on the other side",617,any people in the picture,27819,yes i believe
12,3,345606,"down on a busy street, an oversized bus takes up half of a lane of traffic as cars zoom by on the other side",23984,can you see any animals,27728,no animals
12,4,345606,"down on a busy street, an oversized bus takes up half of a lane of traffic as cars zoom by on the other side",42628,are the people facing the camera,28277,no this is an air view shot
12,5,345606,"down on a busy street, an oversized bus takes up half of a lane of traffic as cars zoom by on the other side",12354,is it daytime,31023,yes it is daytime
12,6,345606,"down on a busy street, an oversized bus takes up half of a lane of traffic as cars zoom by on the other side",29790,can you see the sky,12239,can't see sky it is looking down on the buses
12,7,345606,"down on a busy street, an oversized bus takes up half of a lane of traffic as cars zoom by on the other side",26556,is the picture from a drone,32611,i don't know maybe from tall building
12,8,345606,"down on a busy street, an oversized bus takes up half of a lane of traffic as cars zoom by on the other side",44994,can you see a building,13295,yes 2 buildings
12,9,345606,"down on a busy street, an oversized bus takes up half of a lane of traffic as cars zoom by on the other side",38967,are they big,11502,yes numerous levels
12,10,345606,"down on a busy street, an oversized bus takes up half of a lane of traffic as cars zoom by on the other side",14321,can you see a pole,13080,yes a street pole
13,1,240212,a man holding a disk smiles as he leans against a sign at a disc golf course,9367,is the photo in color,4754,yes
13,2,240212,a man holding a disk smiles as he leans against a sign at a disc golf course,24834,any other people,15736,no
13,3,240212,a man holding a disk smiles as he leans against a sign at a disc golf course,17828,how many discs are shown,24610,1
13,4,240212,a man holding a disk smiles as he leans against a sign at a disc golf course,23889,what color disk,8627,yellow
13,5,240212,a man holding a disk smiles as he leans against a sign at a disc golf course,32857,is the man old or young,19060,young
13,6,240212,a man holding a disk smiles as he leans against a sign at a disc golf course,40567,is he wearing glasses,4754,yes
13,7,240212,a man holding a disk smiles as he leans against a sign at a disc golf course,40026,is he wearing a hat,15736,no
13,8,240212,a man holding a disk smiles as he leans against a sign at a disc golf course,38949,is the sky seen,15736,no
13,9,240212,a man holding a disk smiles as he leans against a sign at a disc golf course,17988,is there grass,4754,yes
13,10,240212,a man holding a disk smiles as he leans against a sign at a disc golf course,41388,is there trees,4754,yes
14,1,128578,a very young child is standing in dirt and holding a cell phone,44890,boy or girl,13879,boy
14,2,128578,a very young child is standing in dirt and holding a cell phone,27570,how old is he,33869,6 looks like
14,3,128578,a very young child is standing in dirt and holding a cell phone,9367,is the photo in color,4754,yes
14,4,128578,a very young child is standing in dirt and holding a cell phone,17245,is he talking on the phone,4748,yea
14,5,128578,a very young child is standing in dirt and holding a cell phone,16445,is it a smartphone,15736,no
14,6,128578,a very young child is standing in dirt and holding a cell phone,22791,is it raining,15736,no
14,7,128578,a very young child is standing in dirt and holding a cell phone,29790,can you see the sky,9116,no ground shot
14,8,128578,a very young child is standing in dirt and holding a cell phone,219,is it day time,4754,yes
14,9,128578,a very young child is standing in dirt and holding a cell phone,43643,can you see adults,15736,no
14,10,128578,a very young child is standing in dirt and holding a cell phone,21596,can you see animals,15736,no
15,1,239030,a nokia tablet pc in a keyboard dock,39348,what color is the tablet,30761,black and silver
15,2,239030,a nokia tablet pc in a keyboard dock,19142,is it on a desk,15736,no
15,3,239030,a nokia tablet pc in a keyboard dock,3850,is it on a table,4754,yes
15,4,239030,a nokia tablet pc in a keyboard dock,21463,what color is the table,33403,white
15,5,239030,a nokia tablet pc in a keyboard dock,22702,are there other objects on the table,4754,yes
15,6,239030,a nokia tablet pc in a keyboard dock,23606,what is 1 other object,29978,cell
15,7,239030,a nokia tablet pc in a keyboard dock,40515,is there a person in the picture,15736,no
15,8,239030,a nokia tablet pc in a keyboard dock,1172,is the tablet on,4754,yes
15,9,239030,a nokia tablet pc in a keyboard dock,29292,what color is the screen,33403,white
15,10,239030,a nokia tablet pc in a keyboard dock,40568,is there any text on the screen,4754,yes
16,1,555125,a church steeple on a cloudy day with blue skies,19080,what color is the church,8044,the photo is a little dark but i would say beige
16,2,555125,a church steeple on a cloudy day with blue skies,28293,do you see any people,15736,no
16,3,555125,a church steeple on a cloudy day with blue skies,12069,can you see any trees,4754,yes
16,4,555125,a church steeple on a cloudy day with blue skies,2416,can you tell what season it is,17347,it's a little cloudy so maybe fall
16,5,555125,a church steeple on a cloudy day with blue skies,31421,is the picture in color,4754,yes
16,6,555125,a church steeple on a cloudy day with blue skies,34194,do you see any cars,17254,no there are no cars
16,7,555125,a church steeple on a cloudy day with blue skies,14970,does the church have a bell tower,11945,it looks like a small bell tower
16,8,555125,a church steeple on a cloudy day with blue skies,24350,is the church brick,26948,it looks made of stone
16,9,555125,a church steeple on a cloudy day with blue skies,26156,is it a large church,33058,i can only see the top half
16,10,555125,a church steeple on a cloudy day with blue skies,38298,do the clouds look like storm clouds,4754,yes
17,1,64527,2 dogs with a hat standing beside each other,38802,what color are the dogs,1780,1 of the dog is white and the other dog is light brown
17,2,64527,2 dogs with a hat standing beside each other,22909,can you tell what breed they are,16275,"i can't really tell what breed they are, perhaps german shepherd"
17,3,64527,2 dogs with a hat standing beside each other,3419,are they both wearing a hat,19329,only 1 is wearing a hat
17,4,64527,2 dogs with a hat standing beside each other,3601,are there any people around,9986,there are no people around
17,5,64527,2 dogs with a hat standing beside each other,56,do you see any buildings,31564,i don't see any buildings at all
17,6,64527,2 dogs with a hat standing beside each other,36102,is it outside,9430,"yes, it is outside"
17,7,64527,2 dogs with a hat standing beside each other,13702,is it a sunny day,25138,it seems more like it's in the evening
17,8,64527,2 dogs with a hat standing beside each other,22425,are they standing in grass,24208,"no, they are standing on dirt"
17,9,64527,2 dogs with a hat standing beside each other,41209,are they looking at each other,23472,"no, they are facing away from each other"
17,10,64527,2 dogs with a hat standing beside each other,21319,do they seem like they like each other,8537,can't tell
18,1,29869,chocolate cake with fresh strawberries and small nuts,3850,is it on a table,15509,i think it
18,2,29869,chocolate cake with fresh strawberries and small nuts,5986,is there any silverware,15736,no
18,3,29869,chocolate cake with fresh strawberries and small nuts,39320,can you see a tablecloth,15736,no
18,4,29869,chocolate cake with fresh strawberries and small nuts,29619,is it a bright picture,4754,yes
18,5,29869,chocolate cake with fresh strawberries and small nuts,11172,can you see a window,15736,no
18,6,29869,chocolate cake with fresh strawberries and small nuts,38040,are there any people,29669,"no, close up picture"
18,7,29869,chocolate cake with fresh strawberries and small nuts,31525,is it inside,28231,i think so
18,8,29869,chocolate cake with fresh strawberries and small nuts,9601,has the cake been cut,17344,it is a slice on a plate
18,9,29869,chocolate cake with fresh strawberries and small nuts,25273,what kind of nuts,31323,i can't tell but it looks delicious
18,10,29869,chocolate cake with fresh strawberries and small nuts,35051,what color is the plate,33403,white
19,1,29737,a man puts his hand in the water as his body leans backwards on a white surfboard among the ocean waves,17422,is he handsome,24288,i can't tell
19,2,29737,a man puts his hand in the water as his body leans backwards on a white surfboard among the ocean waves,32014,is he young,25112,it looks like he probably is
19,3,29737,a man puts his hand in the water as his body leans backwards on a white surfboard among the ocean waves,42035,what color shorts,24357,he is wearing black pants
19,4,29737,a man puts his hand in the water as his body leans backwards on a white surfboard among the ocean waves,24834,any other people,15736,no
19,5,29737,a man puts his hand in the water as his body leans backwards on a white surfboard among the ocean waves,34611,is it rough on the water,23505,looks like it might be
19,6,29737,a man puts his hand in the water as his body leans backwards on a white surfboard among the ocean waves,13702,is it a sunny day,19440,yes it appears to be
19,7,29737,a man puts his hand in the water as his body leans backwards on a white surfboard among the ocean waves,28641,any sharks,15736,no
19,8,29737,a man puts his hand in the water as his body leans backwards on a white surfboard among the ocean waves,16198,does he have sunglasses on,15736,no
19,9,29737,a man puts his hand in the water as his body leans backwards on a white surfboard among the ocean waves,6521,wearing a hat,15736,no
19,10,29737,a man puts his hand in the water as his body leans backwards on a white surfboard among the ocean waves,3636,could he be a model,29729,probably
20,1,33878,a chair sitting on the beach with boats in view offshore,38040,are there any people,4754,yes
20,2,33878,a chair sitting on the beach with boats in view offshore,31421,is the picture in color,4754,yes
20,3,33878,a chair sitting on the beach with boats in view offshore,41755,how many people are there,24288,i can't tell
20,4,33878,a chair sitting on the beach with boats in view offshore,37619,what are they doing,18963,sitting on the boats
20,5,33878,a chair sitting on the beach with boats in view offshore,21398,is this near a beach,4754,yes
20,6,33878,a chair sitting on the beach with boats in view offshore,5427,are they big boats,7273,1 is
20,7,33878,a chair sitting on the beach with boats in view offshore,6630,what color is the chair,33403,white
20,8,33878,a chair sitting on the beach with boats in view offshore,3516,what kind of chair is it,19691,beach
20,9,33878,a chair sitting on the beach with boats in view offshore,8975,what is it made out of,33473,wood
20,10,33878,a chair sitting on the beach with boats in view offshore,24440,is it a nice day,28179,overcast
21,1,267272,a brown and white dog riding a skateboard,29570,can you see any people,12861,part of a person
21,2,267272,a brown and white dog riding a skateboard,9367,is the photo in color,4754,yes
21,3,267272,a brown and white dog riding a skateboard,14876,man or woman,24288,i can't tell
21,4,267272,a brown and white dog riding a skateboard,41118,how many dogs,14625,just 1
21,5,267272,a brown and white dog riding a skateboard,40221,is the dog big or small,15711,medium
21,6,267272,a brown and white dog riding a skateboard,35284,inside or outside,27540,hard to tell but i think outside
21,7,267272,a brown and white dog riding a skateboard,28052,does the dog look happy,15100,kind of
21,8,267272,a brown and white dog riding a skateboard,37573,can you see the ground,4754,yes
21,9,267272,a brown and white dog riding a skateboard,5289,what color is the skateboard,13846,black
21,10,267272,a brown and white dog riding a skateboard,1338,anything else interesting about the photo,22765,the dog is looking up at the person with his tongue out
22,1,221035,lots of boats are docked in several straight rows,27061,can you see people,15736,no
22,2,221035,lots of boats are docked in several straight rows,11928,is it a color picture,15736,no
22,3,221035,lots of boats are docked in several straight rows,29790,can you see the sky,15736,no
22,4,221035,lots of boats are docked in several straight rows,10816,does it look like a nice day,4754,yes
22,5,221035,lots of boats are docked in several straight rows,2548,are there animals,15736,no
22,6,221035,lots of boats are docked in several straight rows,5059,can you count the boats,4822,over 8
22,7,221035,lots of boats are docked in several straight rows,29152,how big are the boats,24612,some small and large
22,8,221035,lots of boats are docked in several straight rows,1422,are they sail boats,15736,no
22,9,221035,lots of boats are docked in several straight rows,18970,do you see ropes,15736,no
22,10,221035,lots of boats are docked in several straight rows,22238,do you see names,15736,no
23,1,200319,a bathroom is filled with assorted items and a toilet in the floor,18054,is the bathroom huge,25071,"no, just a toilet stall size"
23,2,200319,a bathroom is filled with assorted items and a toilet in the floor,11793,what assorted items are there,28446,"toilet roll dispenser, flusher, handle bars, hole in the ground and something i can't tell what it is definitely not a western style bathroom"
23,3,200319,a bathroom is filled with assorted items and a toilet in the floor,42818,is the toilet white,14811,the hole in the ground is white yes
23,4,200319,a bathroom is filled with assorted items and a toilet in the floor,14736,can you see tiles on the floor,4754,yes
23,5,200319,a bathroom is filled with assorted items and a toilet in the floor,37967,what color,17480,black and burgundy
23,6,200319,a bathroom is filled with assorted items and a toilet in the floor,11709,is the toilet lid open or closed,1754,"there is no lid, just a hole in the ground style toilet"
23,7,200319,a bathroom is filled with assorted items and a toilet in the floor,28293,do you see any people,15736,no
23,8,200319,a bathroom is filled with assorted items and a toilet in the floor,24754,are the lights on,4754,yes
23,9,200319,a bathroom is filled with assorted items and a toilet in the floor,38149,is it well dim,33456,lighting isn't very bright
23,10,200319,a bathroom is filled with assorted items and a toilet in the floor,40797,is the toilet dispenser silver,21655,"stainless steel, yes"
24,1,307868,a white river boat sales towards mountains in the background,17736,are there any people on the boat,4537,i can't tell i can't see any
24,2,307868,a white river boat sales towards mountains in the background,15982,are there any other boats on the water,15736,no
24,3,307868,a white river boat sales towards mountains in the background,28713,is it a river,24288,i can't tell
24,4,307868,a white river boat sales towards mountains in the background,1854,is there snow on the mountains,22695,"no, there is not"
24,5,307868,a white river boat sales towards mountains in the background,39800,are there trees on the mountains,20989,"yes, there are"
24,6,307868,a white river boat sales towards mountains in the background,44140,are the leaves green,2402,"yes, they are green"
24,7,307868,a white river boat sales towards mountains in the background,23984,can you see any animals,34488,"yes, i can see a bird"
24,8,307868,a white river boat sales towards mountains in the background,2407,is the water calm or rough,26080,the water is calm
24,9,307868,a white river boat sales towards mountains in the background,6766,what color is the bird,18533,the bird is gray
24,10,307868,a white river boat sales towards mountains in the background,2916,is it a seagull,30076,"yes, it looks like a seagull"
25,1,214573,a person riding skis down a hill with glasses on,40046,is it light outside,4754,yes
25,2,214573,a person riding skis down a hill with glasses on,37347,are there other people around,15736,no
25,3,214573,a person riding skis down a hill with glasses on,37526,what color is the persons skies,33403,white
25,4,214573,a person riding skis down a hill with glasses on,833,can you tell which brand,19733,no i can't
25,5,214573,a person riding skis down a hill with glasses on,6289,what color is the persons trousers,14843,red
25,6,214573,a person riding skis down a hill with glasses on,40709,what about their jacket,13846,black
25,7,214573,a person riding skis down a hill with glasses on,11535,what color is their glasses,25000,red and white
25,8,214573,a person riding skis down a hill with glasses on,26166,do they look happy,24288,i can't tell
25,9,214573,a person riding skis down a hill with glasses on,33553,does it look like that they have speed,15180,not really
25,10,214573,a person riding skis down a hill with glasses on,42451,what color is the persons ski sticks,26734,yellow i think
26,1,137772,a plate of partially eaten food on a table,35051,what color is the plate,33403,white
26,2,137772,a plate of partially eaten food on a table,44648,what kind of food on the plate,32475,a piece of cookie and bread or cake
26,3,137772,a plate of partially eaten food on a table,16026,is this at a restaurant,1352,i don't think so
26,4,137772,a plate of partially eaten food on a table,41532,is the cookie chocolate chip,9948,"yes, i think so"
26,5,137772,a plate of partially eaten food on a table,38120,is the plate on a table,4754,yes
26,6,137772,a plate of partially eaten food on a table,5190,are there any utensils,4754,yes
26,7,137772,a plate of partially eaten food on a table,39592,is there anything to drink,5031,i see 3 cups
26,8,137772,a plate of partially eaten food on a table,10326,is the room well lit,15736,no
26,9,137772,a plate of partially eaten food on a table,1412,what color are the cups,25735,blue and a white cup
26,10,137772,a plate of partially eaten food on a table,21463,what color is the table,34370,tan
27,1,117081,an animal stuffed into a suitcase sitting on the floor,9457,is the animal alive,8582,i certainly hope not
27,2,117081,an animal stuffed into a suitcase sitting on the floor,13855,is it a stuffed animal,19918,"i don't think so, but it's hard to tell"
27,3,117081,an animal stuffed into a suitcase sitting on the floor,29570,can you see any people,26936,nobody around
27,4,117081,an animal stuffed into a suitcase sitting on the floor,25294,can you tell where the picture was taken,4473,seems like a museum or gallery
27,5,117081,an animal stuffed into a suitcase sitting on the floor,17949,does the scene seem to be some sort of artwork,3923,that's what i'm guessing
27,6,117081,an animal stuffed into a suitcase sitting on the floor,17903,is it attractive in a artsy fartsy way or no,15272,not attractive at all very creepy
27,7,117081,an animal stuffed into a suitcase sitting on the floor,18772,can you make out what the hopefully not alive animal is supposed to be,7519,i'm going with a camel
27,8,117081,an animal stuffed into a suitcase sitting on the floor,35974,can you see how many humps,6039,"no, just his incredibly creepy smile and legs"
27,9,117081,an animal stuffed into a suitcase sitting on the floor,17085,what color is the suitcase,10614,black and red
27,10,117081,an animal stuffed into a suitcase sitting on the floor,15070,is it leather or some other sort of material,28570,probably leather
28,1,99643,a little girl eating a piece of pizza and 2 small pieces on her plate,17804,is this in color,4754,yes
28,2,99643,a little girl eating a piece of pizza and 2 small pieces on her plate,16749,how old does the girl look,78,around 3
28,3,99643,a little girl eating a piece of pizza and 2 small pieces on her plate,29989,is this inside,13288,"yes, i believe so"
28,4,99643,a little girl eating a piece of pizza and 2 small pieces on her plate,37347,are there other people around,15736,no
28,5,99643,a little girl eating a piece of pizza and 2 small pieces on her plate,10326,is the room well lit,4754,yes
28,6,99643,a little girl eating a piece of pizza and 2 small pieces on her plate,43205,is the girl sitting,4754,yes
